Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","114","Kenya","5110","Area","6716","Planted Forest","2017","2017","1000 ha","220","Fm","Manual Estimation"
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2010","2010","1000 ha","4.84","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2011","2011","1000 ha","4.97","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2012","2012","1000 ha","4.9","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2013","2013","1000 ha","4.9","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2014","2014","1000 ha","4.9","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2015","2015","1000 ha","150.5","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2016","2016","1000 ha","154.5","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6671","Agriculture area under organic agric.","2017","2017","1000 ha","177.2","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2010","2010","1000 ha","4.31","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2011","2011","1000 ha","4.44","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2012","2012","1000 ha","4.4","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2013","2013","1000 ha","4.4","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2014","2014","1000 ha","4.4","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6672","Agriculture area certified organic","2017","2017","1000 ha","159","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","114","Kenya","5110","Area","6668","Cropland area under organic agric.","2010","2010","1000 ha","4.84","Fc","Calculated data"
"RL","Land Use","114","Kenya","5110","Area","6668","Cropland area under organic agric.","2011","2011","1000 ha","4.97","Fc","Calculated data"
"RL","Land Use","114","Kenya","5110","Area","6669","Cropland area certified organic","2010","2010","1000 ha","4.32","Fc","Calculated data"
"RL","Land Use","114","Kenya","5110","Area","6669","Cropland area certified organic","2011","2011","1000 ha","4.44","Fc","Calculated data"
