,Date-Monthly,precip,mintemp,maxtemp
186,Jul-15,82.81414,11.259093,23.153637
187,Aug-15,82.13473,11.160531,23.829853
188,Sep-15,58.845314,10.878886,25.250343
189,Oct-15,70.27294,12.312042,26.110636
190,Nov-15,152.3452,11.434427,24.116936
191,Dec-15,98.408455,11.822219,25.63077
192,Jan-16,68.02051,11.991646,27.410227
193,Feb-16,26.088284,11.584105,27.911335
194,Mar-16,50.913734,12.256229,27.776001
195,Apr-16,196.01729,13.2638645,25.987665
196,May-16,116.22768,12.875709,25.299124
197,Jun-16,62.05984,11.546615,24.270468
198,Jul-16,54.37021,11.691906,24.231762
199,Aug-16,57.985966,11.02303,23.93298
200,Sep-16,37.71618,10.061698,24.520655
201,Oct-16,66.3192,10.919854,25.993448
202,Nov-16,71.266266,11.35474,24.887249
203,Dec-16,116.3147,11.459719,25.701082
204,Jan-17,27.226189,10.0494585,27.410227
205,Feb-17,50.77927,10.338792,26.923834
206,Mar-17,37.463123,11.665605,26.880686
207,Apr-17,77.061066,12.918552,26.337666
208,May-17,83.43573,13.075708,25.499125
209,Jun-17,55.28418,11.759115,23.83297
210,Jul-17,160.52177,11.671594,23.241137
211,Aug-17,104.86518,12.160531,23.882978
212,Sep-17,69.811676,10.671073,24.48003
213,Oct-17,155.32721,11.569855,25.755947
214,Nov-17,91.493126,10.94224,24.474749
215,Dec-17,41.605362,10.334719,25.026081
216,Jan-18,60.90019,10.124458,25.702415
217,Feb-18,59.68319,10.546604,27.761333
218,Mar-18,65.96343,10.598417,25.576
219,Apr-18,149.40244,11.856051,24.704853
220,May-18,166.03355,11.875709,24.299124
221,Jun-18,134.70724,10.854427,23.56578
222,Jul-18,71.351875,11.116906,23.32395
223,Aug-18,183.15274,10.655844,22.782978
224,Sep-18,99.808495,9.928885,25.012842
225,Oct-18,70.15854,11.024542,25.660635
226,Nov-18,34.50343,12.04224,25.574749
227,Dec-18,83.99803,11.947219,25.783894
